Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score
"Tried this for the first time, and everything was smooth from start to end. delivery was quick and packaging was neat. good job by the team.",Positive,Zomato,2025-07-14 01:44:27,user1378,Kolkata,0.9
"I ordered this last week, and honestly I'm really happy with it. customer support was helpful. will definitely recommend this to others 😊 bilkul pasand aaya.",Positive,Twitter,2024-04-16 00:10:21,user2155,Bhopal,0.82
"Received this product yesterday, and it didn't meet my expectations at all. delivery got delayed without any update. needs serious improvement thoda disappointing.",Negative,Online Store,2024-10-29 22:38:53,user4284,Ahmedabad,0.56
"I ordered this last week, and honestly I'm really happy with it. delivery was quick and packaging was neat. good job by the team kaafi acha hai.",Positive,Swiggy,2023-01-30 23:05:29,user1160,Bhopal,0.95
"I ordered this last week, and honestly I'm really happy with it. customer support was helpful. totally satisfied ❤️ bilkul pasand aaya.",Positive,Online Store,2024-08-15 00:40:47,user1062,Delhi,0.81
"Using this from past few days, and everything was smooth from start to end. product quality is really good. will order again for sure.",Positive,Online Store,2023-03-24 00:57:18,user1731,Kolkata,0.85
"Using this from past few days, and I had a great experience overall. delivery was quick and packaging was neat. totally satisfied ❤️.",Positive,Amazon India,2023-09-07 01:18:13,user7892,Hyderabad,0.92
"After waiting for so long, and it's not worth the price. received damaged product. waste of money matlab expected better.",Negative,Twitter,2025-04-29 10:54:43,user7858,Nagpur,0.51
"Received this product yesterday, and it's not worth the price. delivery got delayed without any update. needs serious improvement seriously yaar.",Negative,Online Store,2023-11-28 19:01:59,user9058,Jaipur,0.62
"Using this from past few days, and it's totally worth the money. app interface is clean and smooth. totally satisfied ❤️ thoda disappointing.",Positive,Website Review,2023-12-16 14:15:59,user9304,Pune,0.86
"Bought this with high expectations, and it didn't meet my expectations at all. website is very slow. waste of money seriously yaar.",Negative,Website Review,2025-09-07 06:24:21,user7714,Bangalore,0.74
"I ordered this recently, and it's not worth the price. delivery got delayed without any update. not going to buy again 😡 seriously yaar.",Negative,Online Store,2024-09-03 10:02:30,user5968,Ahmedabad,0.72
"Using this from past few days, and it's totally worth the money. everything worked perfectly. will definitely recommend this to others 😊.",Positive,Amazon India,2024-07-09 21:36:28,user4362,Chennai,0.89
"Received this product yesterday, but facing multiple issues. website is not working properly. very bad experience overall bilkul pasand aaya.",Negative,Website Review,2024-04-05 21:22:15,user9232,Bangalore,0.64
"I ordered this last week, and I had a great experience overall. everything worked perfectly. happy with the purchase 👍 matlab expected better.",Positive,Swiggy,2025-02-09 03:58:27,user8096,Nagpur,0.84
"I ordered this recently, but facing multiple issues. delivery got delayed without any update. very bad experience overall.",Negative,Swiggy,2025-04-16 17:23:47,user7907,Bangalore,0.73
"Bought this with high expectations, but the experience was really bad. money got debited but no confirmation email received. not going to buy again 😡 kaafi acha hai.",Negative,Website Review,2024-10-26 07:05:36,user2929,Kolkata,0.53
"Tried using it for few days, but facing multiple issues. received damaged product. needs serious improvement matlab expected better.",Negative,Online Store,2025-03-28 08:00:38,user5142,Visakhapatnam,0.72
"Bought this during sale, and it's totally worth the money. navigation is simple and fast. good job by the team bakwas experience.",Positive,Website Review,2023-08-13 20:20:58,user4582,Mumbai,0.88
"Received this product yesterday, and it's not worth the price. received damaged product. needs serious improvement.",Negative,Zomato,2023-10-21 07:44:14,user4777,Coimbatore,0.72
"Using this from past few days, and I had a great experience overall. product quality is really good. will order again for sure bilkul pasand aaya.",Positive,Online Store,2023-09-25 07:52:55,user1893,Hyderabad,0.89
"I ordered this last week, and it turned out better than expected. customer support was helpful. happy with the purchase 👍 kaafi acha hai.",Positive,Swiggy,2025-06-16 00:18:33,user9967,Nagpur,0.92
"Bought this with high expectations, but facing multiple issues. website is not working properly. needs serious improvement bilkul pasand aaya.",Negative,Google Reviews,2025-07-30 09:31:24,user1201,Coimbatore,0.61
"Got this delivered yesterday, and it's totally worth the money. delivery was quick and packaging was neat. good job by the team bilkul pasand aaya.",Positive,Flipkart,2024-09-01 23:15:55,user9522,Jaipur,0.85
"After waiting for so long, but facing multiple issues. delivery got delayed without any update. completely disappointed 💔 bakwas experience.",Negative,Twitter,2025-04-06 04:02:01,user5154,Hyderabad,0.55
"Tried using it for few days, but the experience was really bad. received damaged product. waste of money seriously yaar.",Negative,Flipkart,2025-08-09 08:47:54,user9360,Pune,0.51
"Using this from past few days, and I had a great experience overall. everything worked perfectly. good job by the team kaafi acha hai.",Positive,Amazon India,2024-10-26 23:22:32,user3628,Delhi,0.94
"Got this delivered yesterday, and it's totally worth the money. customer support was helpful. happy with the purchase 👍 kaafi acha hai.",Positive,Zomato,2023-02-03 13:14:47,user8216,Coimbatore,0.91
"Got this delivered yesterday, and it's totally worth the money. delivery was quick and packaging was neat. will order again for sure seriously yaar.",Positive,Online Store,2025-07-02 03:55:19,user6389,Lucknow,0.91
"Tried this for the first time, and it turned out better than expected. UI design looks modern and attractive. totally satisfied ❤️ kaafi acha hai.",Positive,Website Review,2024-01-08 22:23:31,user3713,Jaipur,0.95
"Received this product yesterday, and honestly I'm very disappointed. product quality is very poor. not going to buy again 😡 bilkul pasand aaya.",Negative,Zomato,2023-05-30 20:36:04,user8740,Patna,0.66
"Using this from past few days, and it turned out better than expected. customer support was helpful. will definitely recommend this to others 😊.",Positive,Swiggy,2025-03-16 05:14:34,user8859,Delhi,0.84
"I ordered this recently, but the experience was really bad. received damaged product. waste of money bakwas experience.",Negative,Swiggy,2025-10-17 01:06:31,user6383,Bhopal,0.69
"Bought this with high expectations, but the experience was really bad. too many bugs in the app. very bad experience overall bakwas experience.",Negative,Google Reviews,2023-01-15 11:41:27,user3073,Lucknow,0.7
"Received this product yesterday, and honestly I'm very disappointed. customer support didn't respond properly. completely disappointed 💔 bilkul pasand aaya.",Negative,Flipkart,2023-04-12 06:11:38,user1165,Hyderabad,0.54
"Tried this for the first time, and it turned out better than expected. product quality is really good. happy with the purchase 👍 seriously yaar.",Positive,Online Store,2023-12-26 14:12:20,user1009,Hyderabad,0.9
"Received this product yesterday, and it didn't meet my expectations at all. delivery got delayed without any update. very bad experience overall.",Negative,Zomato,2024-08-04 18:15:03,user4418,Pune,0.59
"Bought this with high expectations, and honestly I'm very disappointed. received damaged product. very bad experience overall thoda disappointing.",Negative,Zomato,2024-07-15 12:22:06,user5219,Bangalore,0.58
"Bought this during sale, and everything was smooth from start to end. delivery was quick and packaging was neat. will order again for sure bilkul pasand aaya.",Positive,Amazon India,2025-09-21 19:22:26,user5731,Nagpur,0.83
"Using this from past few days, and it turned out better than expected. customer support was helpful. happy with the purchase 👍 matlab expected better.",Positive,Online Store,2023-10-20 04:32:07,user5460,Coimbatore,0.82
"Got this after delay, and it's not worth the price. delivery got delayed without any update. needs serious improvement seriously yaar.",Negative,Flipkart,2024-04-23 16:43:37,user2990,Mumbai,0.66
"Using this from past few days, and it turned out better than expected. everything worked perfectly. will order again for sure matlab expected better.",Positive,Flipkart,2023-08-18 06:49:03,user6327,Jaipur,0.81
"Using this from past few days, and it turned out better than expected. UI design looks modern and attractive. good job by the team bilkul pasand aaya.",Positive,Google Reviews,2023-03-28 04:34:06,user6851,Bhopal,0.83
"Bought this with high expectations, and it didn't meet my expectations at all. too many bugs in the app. needs serious improvement.",Negative,Google Reviews,2025-08-28 10:42:58,user8468,Ahmedabad,0.63
"Tried this for the first time, and it's totally worth the money. everything worked perfectly. happy with the purchase 👍 kaafi acha hai.",Positive,Twitter,2024-01-07 09:42:19,user2392,Delhi,0.84
"I ordered this last week, and everything was smooth from start to end. navigation is simple and fast. good job by the team.",Positive,Google Reviews,2024-05-21 09:05:20,user8540,Visakhapatnam,0.89
"Using this from past few days, and honestly I'm really happy with it. everything worked perfectly. will order again for sure bilkul pasand aaya.",Positive,Swiggy,2025-06-02 15:19:14,user6874,Mumbai,0.88
"I ordered this last week, and everything was smooth from start to end. delivery was quick and packaging was neat. will order again for sure thoda disappointing.",Positive,Twitter,2025-04-26 14:22:38,user4546,Kolkata,0.96
"Bought this with high expectations, and honestly I'm very disappointed. customer support didn't respond properly. completely disappointed 💔.",Negative,Amazon India,2024-05-02 17:13:05,user4772,Visakhapatnam,0.63
"Tried this for the first time, and it's totally worth the money. navigation is simple and fast. will order again for sure bilkul pasand aaya.",Positive,Website Review,2025-11-04 21:27:52,user3372,Mumbai,0.82
"Got this delivered yesterday, and it turned out better than expected. everything worked perfectly. good job by the team bilkul pasand aaya.",Positive,Flipkart,2023-05-14 15:29:47,user8695,Bhopal,0.96
"Using this from past few days, and it turned out better than expected. UI design looks modern and attractive. will definitely recommend this to others 😊 seriously yaar.",Positive,Website Review,2024-05-14 23:17:58,user6876,Bangalore,0.86
"Got this after delay, but facing multiple issues. received damaged product. completely disappointed 💔 bilkul pasand aaya.",Negative,Amazon India,2025-05-06 22:50:17,user9617,Pune,0.56
"I ordered this last week, and it's totally worth the money. customer support was helpful. will order again for sure kaafi acha hai.",Positive,Online Store,2024-01-23 00:00:01,user9058,Patna,0.82
"I ordered this recently, and it's not worth the price. product quality is very poor. needs serious improvement seriously yaar.",Negative,Twitter,2025-06-01 14:22:11,user4619,Ahmedabad,0.55
"Using this from past few days, and it turned out better than expected. customer support was helpful. totally satisfied ❤️ seriously yaar.",Positive,Twitter,2025-03-26 15:02:33,user6888,Coimbatore,0.96
"I ordered this recently, and it didn't meet my expectations at all. delivery got delayed without any update. completely disappointed 💔 bakwas experience.",Negative,Amazon India,2025-04-12 21:00:14,user1483,Coimbatore,0.55
"Bought this during sale, and everything was smooth from start to end. product quality is really good. good job by the team bakwas experience.",Positive,Zomato,2023-01-24 23:49:20,user1966,Visakhapatnam,0.88
"Got this delivered yesterday, and it's totally worth the money. product quality is really good. will order again for sure thoda disappointing.",Positive,Zomato,2024-02-19 00:09:11,user7625,Hyderabad,0.82
"Recently purchased this, and honestly I'm really happy with it. loading speed is really good. happy with the purchase 👍 seriously yaar.",Positive,Google Reviews,2023-08-23 13:15:28,user9324,Chennai,0.95
"Bought this during sale, and everything was smooth from start to end. customer support was helpful. will definitely recommend this to others 😊 bakwas experience.",Positive,Twitter,2025-06-21 04:48:24,user9529,Bangalore,0.94
"Got this delivered yesterday, and it's totally worth the money. website is very easy to use. happy with the purchase 👍 bakwas experience.",Positive,Google Reviews,2023-02-19 23:45:04,user8466,Jaipur,0.91
"I ordered this recently, and it's not worth the price. navigation is confusing. completely disappointed 💔 bilkul pasand aaya.",Negative,Website Review,2025-02-10 05:39:44,user4977,Hyderabad,0.6
"Recently purchased this, and it turned out better than expected. everything worked perfectly. will order again for sure bakwas experience.",Positive,Swiggy,2025-05-08 15:47:49,user5124,Coimbatore,0.88
"Got this after delay, and it's not worth the price. delivery got delayed without any update. waste of money bilkul pasand aaya.",Negative,Zomato,2025-08-05 14:46:56,user6498,Patna,0.61
"I ordered this last week, and it turned out better than expected. customer support was helpful. totally satisfied ❤️ matlab expected better.",Positive,Flipkart,2024-08-26 13:22:07,user2560,Chennai,0.95
"I ordered this last week, and everything was smooth from start to end. customer support was helpful. totally satisfied ❤️ seriously yaar.",Positive,Twitter,2024-05-23 10:36:42,user2206,Mumbai,0.87
"Received this product yesterday, and it's not worth the price. payment page is stuck and not loading. completely disappointed 💔 bilkul pasand aaya.",Negative,Google Reviews,2025-03-03 07:08:38,user8630,Ahmedabad,0.74
"After waiting for so long, and honestly I'm very disappointed. delivery got delayed without any update. needs serious improvement.",Negative,Flipkart,2024-03-15 18:43:15,user9853,Kolkata,0.68
"Bought this with high expectations, and honestly I'm very disappointed. product quality is very poor. needs serious improvement seriously yaar.",Negative,Twitter,2023-09-24 06:05:49,user5006,Hyderabad,0.68
"Received this product yesterday, but the experience was really bad. received damaged product. waste of money matlab expected better.",Negative,Twitter,2024-01-16 20:29:20,user1561,Pune,0.62
"Tried this for the first time, and it turned out better than expected. app interface is clean and smooth. totally satisfied ❤️ thoda disappointing.",Positive,Website Review,2025-10-19 00:57:56,user1994,Chennai,0.92
"Got this after delay, but facing multiple issues. app freezes while placing order. needs serious improvement.",Negative,Google Reviews,2024-05-24 20:19:32,user3099,Bhopal,0.7
"Got this after delay, and honestly I'm very disappointed. delivery got delayed without any update. completely disappointed 💔.",Negative,Online Store,2025-03-14 01:04:47,user4468,Kolkata,0.5
"Bought this with high expectations, and it didn't meet my expectations at all. customer support didn't respond properly. needs serious improvement seriously yaar.",Negative,Zomato,2023-03-24 08:28:01,user4106,Kolkata,0.55
"Recently purchased this, and everything was smooth from start to end. loading speed is really good. will definitely recommend this to others 😊 seriously yaar.",Positive,Website Review,2024-02-14 19:15:25,user7112,Chennai,0.84
"Bought this with high expectations, but facing multiple issues. received damaged product. needs serious improvement matlab expected better.",Negative,Zomato,2024-05-26 17:14:49,user4036,Coimbatore,0.75
"After waiting for so long, but facing multiple issues. order placed but no update or tracking available. completely disappointed 💔 bakwas experience.",Negative,Website Review,2024-11-02 15:53:40,user3427,Visakhapatnam,0.54
"I ordered this last week, and it's totally worth the money. delivery was quick and packaging was neat. good job by the team.",Positive,Twitter,2024-10-18 11:41:47,user1752,Bangalore,0.9
"Got this delivered yesterday, and everything was smooth from start to end. delivery was quick and packaging was neat. will order again for sure thoda disappointing.",Positive,Twitter,2025-08-20 18:12:45,user8445,Kolkata,0.89
"Received this product yesterday, but facing multiple issues. website is not working properly. not going to buy again 😡.",Negative,Website Review,2024-06-09 23:17:59,user3420,Pune,0.6
"Using this from past few days, and honestly I'm really happy with it. website is very easy to use. good job by the team bilkul pasand aaya.",Positive,Google Reviews,2024-03-20 13:27:17,user8840,Mumbai,0.94
"Bought this during sale, and it's totally worth the money. everything worked perfectly. happy with the purchase 👍 matlab expected better.",Positive,Twitter,2025-12-04 20:51:26,user2485,Kolkata,0.87
"After waiting for so long, and it didn't meet my expectations at all. received damaged product. needs serious improvement.",Negative,Flipkart,2023-02-10 19:50:08,user7196,Patna,0.74
"Tried this for the first time, and it's totally worth the money. everything worked perfectly. totally satisfied ❤️ seriously yaar.",Positive,Zomato,2025-04-15 06:38:55,user7821,Mumbai,0.94
"Received this product yesterday, and it didn't meet my expectations at all. product quality is very poor. needs serious improvement bilkul pasand aaya.",Negative,Flipkart,2024-09-17 17:59:00,user1562,Coimbatore,0.66
"Recently purchased this, and honestly I'm really happy with it. everything worked perfectly. good job by the team kaafi acha hai.",Positive,Online Store,2023-09-13 15:25:07,user3627,Lucknow,0.86
"I ordered this recently, and honestly I'm very disappointed. delivery got delayed without any update. completely disappointed 💔 matlab expected better.",Negative,Amazon India,2023-04-22 12:39:13,user3108,Kolkata,0.68
"Received this product yesterday, and honestly I'm very disappointed. delivery got delayed without any update. needs serious improvement bakwas experience.",Negative,Twitter,2023-02-11 14:51:07,user7200,Bangalore,0.69
"Using this from past few days, and honestly I'm really happy with it. delivery was quick and packaging was neat. happy with the purchase 👍.",Positive,Flipkart,2025-07-04 07:43:52,user6222,Patna,0.97
"Got this delivered yesterday, and it turned out better than expected. customer support was helpful. happy with the purchase 👍.",Positive,Amazon India,2023-05-07 06:03:50,user4440,Pune,0.85
"Recently purchased this, and everything was smooth from start to end. customer support was helpful. will definitely recommend this to others 😊 bakwas experience.",Positive,Amazon India,2024-03-10 20:28:12,user9077,Mumbai,0.89
"Using this from past few days, and it's totally worth the money. everything worked perfectly. totally satisfied ❤️ bakwas experience.",Positive,Flipkart,2024-07-22 07:43:31,user1077,Jaipur,0.96
"Got this delivered yesterday, and honestly I'm really happy with it. delivery was quick and packaging was neat. will definitely recommend this to others 😊 seriously yaar.",Positive,Amazon India,2025-01-19 08:27:40,user7673,Jaipur,0.82
"Bought this during sale, and it turned out better than expected. everything worked perfectly. happy with the purchase 👍 bilkul pasand aaya.",Positive,Flipkart,2024-12-23 05:36:38,user8089,Jaipur,0.91
"Tried using it for few days, and it didn't meet my expectations at all. delivery got delayed without any update. very bad experience overall thoda disappointing.",Negative,Zomato,2024-11-18 13:33:33,user1358,Mumbai,0.54
"Received this product yesterday, but the experience was really bad. delivery got delayed without any update. very bad experience overall.",Negative,Zomato,2024-11-29 12:21:09,user9778,Delhi,0.67
"Got this after delay, but the experience was really bad. OTP not received during login. completely disappointed 💔 bilkul pasand aaya.",Negative,Google Reviews,2025-11-11 13:16:09,user4424,Lucknow,0.55
"Tried this for the first time, and honestly I'm really happy with it. website is very easy to use. happy with the purchase 👍 bilkul pasand aaya.",Positive,Google Reviews,2023-06-22 09:39:29,user1401,Ahmedabad,0.92
"Got this after delay, and it didn't meet my expectations at all. delivery got delayed without any update. completely disappointed 💔 kaafi acha hai.",Negative,Flipkart,2025-06-10 01:35:59,user9556,Ahmedabad,0.53
"Got this after delay, and it didn't meet my expectations at all. customer support didn't respond properly. waste of money bakwas experience.",Negative,Online Store,2024-11-07 01:22:19,user4088,Jaipur,0.73
"Received this product yesterday, and it didn't meet my expectations at all. received damaged product. needs serious improvement thoda disappointing.",Negative,Flipkart,2025-11-24 06:21:35,user1866,Mumbai,0.6
"After waiting for so long, but facing multiple issues. delivery got delayed without any update. needs serious improvement bilkul pasand aaya.",Negative,Online Store,2023-12-04 05:31:02,user1273,Pune,0.5
"Tried this for the first time, and it's totally worth the money. delivery was quick and packaging was neat. good job by the team matlab expected better.",Positive,Zomato,2024-06-13 14:31:28,user7692,Pune,0.85
"Received this product yesterday, but the experience was really bad. product quality is very poor. not going to buy again 😡 seriously yaar.",Negative,Amazon India,2025-04-29 21:23:02,user5394,Pune,0.72
"After waiting for so long, but the experience was really bad. product quality is very poor. waste of money thoda disappointing.",Negative,Flipkart,2025-04-19 01:51:54,user5659,Visakhapatnam,0.53
"Bought this with high expectations, and it's not worth the price. customer support didn't respond properly. very bad experience overall bilkul pasand aaya.",Negative,Swiggy,2024-02-19 01:28:22,user5114,Hyderabad,0.51
"I ordered this recently, and it didn't meet my expectations at all. delivery got delayed without any update. waste of money thoda disappointing.",Negative,Amazon India,2025-05-05 16:59:50,user4617,Coimbatore,0.62
"Recently purchased this, and it turned out better than expected. app interface is clean and smooth. will definitely recommend this to others 😊 bilkul pasand aaya.",Positive,Website Review,2023-03-14 06:35:33,user5975,Delhi,0.84
"Using this from past few days, and it's totally worth the money. navigation is simple and fast. good job by the team bilkul pasand aaya.",Positive,Google Reviews,2024-03-22 21:30:23,user7953,Bangalore,0.94
"Tried this for the first time, and I had a great experience overall. product quality is really good. happy with the purchase 👍 kaafi acha hai.",Positive,Zomato,2023-12-02 16:54:24,user1437,Ahmedabad,0.95
"Received this product yesterday, but the experience was really bad. product quality is very poor. waste of money seriously yaar.",Negative,Twitter,2023-05-17 12:32:35,user6301,Pune,0.58
"Got this after delay, but the experience was really bad. tried contacting support but no response. completely disappointed 💔 matlab expected better.",Negative,Google Reviews,2025-05-05 08:56:13,user3880,Chennai,0.67
"Got this after delay, and it's not worth the price. received damaged product. completely disappointed 💔.",Negative,Amazon India,2023-05-11 03:45:41,user8233,Kolkata,0.51
"Received this product yesterday, and it's not worth the price. customer support is not responding at all. waste of money matlab expected better.",Negative,Website Review,2024-11-27 18:41:15,user2458,Mumbai,0.69
"After waiting for so long, and it didn't meet my expectations at all. delivery got delayed without any update. completely disappointed 💔 bilkul pasand aaya.",Negative,Swiggy,2023-03-13 10:21:34,user3173,Bangalore,0.69
"Using this from past few days, and it turned out better than expected. app interface is clean and smooth. will definitely recommend this to others 😊 bakwas experience.",Positive,Website Review,2024-02-26 17:11:01,user7583,Visakhapatnam,0.87
"Tried using it for few days, and it's not worth the price. product quality is very poor. very bad experience overall bakwas experience.",Negative,Zomato,2025-05-01 19:21:43,user2720,Pune,0.62
"Got this after delay, and honestly I'm very disappointed. app freezes while placing order. waste of money matlab expected better.",Negative,Website Review,2025-10-13 00:00:17,user1064,Pune,0.69
"Bought this with high expectations, and it's not worth the price. received damaged product. waste of money bakwas experience.",Negative,Amazon India,2025-01-14 18:59:02,user7363,Coimbatore,0.62
"Tried using it for few days, and it's not worth the price. customer support didn't respond properly. needs serious improvement kaafi acha hai.",Negative,Amazon India,2025-09-30 13:37:57,user8095,Ahmedabad,0.59
"I ordered this last week, and it turned out better than expected. customer support was helpful. will order again for sure seriously yaar.",Positive,Zomato,2025-05-11 22:03:05,user8064,Bhopal,0.84
"Tried this for the first time, and I had a great experience overall. product quality is really good. will definitely recommend this to others 😊.",Positive,Zomato,2025-01-09 06:57:08,user8647,Jaipur,0.85
"Bought this with high expectations, and it's not worth the price. delivery got delayed without any update. very bad experience overall bilkul pasand aaya.",Negative,Swiggy,2025-08-07 22:47:02,user1492,Visakhapatnam,0.55
"Recently purchased this, and I had a great experience overall. app interface is clean and smooth. totally satisfied ❤️.",Positive,Google Reviews,2023-10-18 08:14:09,user6501,Bhopal,0.89
"Recently purchased this, and everything was smooth from start to end. product quality is really good. good job by the team seriously yaar.",Positive,Zomato,2023-02-08 10:02:17,user2592,Chennai,0.91
"Bought this with high expectations, and honestly I'm very disappointed. app freezes while placing order. needs serious improvement matlab expected better.",Negative,Website Review,2024-06-10 22:24:38,user6979,Bangalore,0.59
"Tried using it for few days, and honestly I'm very disappointed. received damaged product. not going to buy again 😡 thoda disappointing.",Negative,Swiggy,2025-04-18 07:12:42,user1260,Delhi,0.74
"I ordered this last week, and it turned out better than expected. everything worked perfectly. totally satisfied ❤️ kaafi acha hai.",Positive,Swiggy,2023-11-03 10:33:45,user2236,Delhi,0.93
"Bought this during sale, and I had a great experience overall. product quality is really good. good job by the team kaafi acha hai.",Positive,Swiggy,2025-03-16 01:28:35,user4453,Delhi,0.95
"I ordered this last week, and honestly I'm really happy with it. navigation is simple and fast. happy with the purchase 👍 kaafi acha hai.",Positive,Google Reviews,2023-12-18 12:03:42,user1916,Delhi,0.87
"Using this from past few days, and it turned out better than expected. customer support was helpful. will order again for sure bakwas experience.",Positive,Amazon India,2025-06-08 02:56:57,user1786,Hyderabad,0.84
"Tried this for the first time, and I had a great experience overall. everything worked perfectly. totally satisfied ❤️ thoda disappointing.",Positive,Online Store,2024-06-22 22:06:33,user3007,Ahmedabad,0.88
