Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score
"No issues at all, app works perfectly and easy to use ❤️",Positive,Zomato,2023-01-31 21:23:13,user2920,Mumbai,0.9
"Not sure what's happening, support blocked on website and nothing is working properly. fed up with this.",Negative,Website Review,2024-08-19 03:49:56,user1047,Pune,0.52
"No issues at all, app works perfectly and easy to use ❤️",Positive,Flipkart,2024-09-23 23:30:10,user2438,Delhi,0.96
"Really liked the experience, everything worked fine and smooth 😊",Positive,Flipkart,2024-05-16 13:57:58,user7385,Hyderabad,0.94
"Really liked the experience, everything worked fine and smooth 😊",Positive,Google Reviews,2023-11-22 15:29:20,user1802,Kolkata,0.93
"I was just trying to use the app and tracking not received after update, then app just froze. really frustrated.",Negative,Google Reviews,2023-08-09 22:12:54,user2687,Hyderabad,0.56
"I tried app delayed while placing order but it failed again, very disappointed.",Negative,Flipkart,2025-03-01 08:46:08,user3608,Pune,0.74
"Service was good and delivery was fast, happy with it 👍",Positive,Amazon India,2024-02-12 16:19:24,user2859,Hyderabad,0.81
"No issues at all, app works perfectly and easy to use ❤️",Positive,Zomato,2024-06-16 09:56:43,user6884,Hyderabad,0.97
"No issues at all, app works perfectly and easy to use ❤️",Positive,Google Reviews,2023-11-23 06:29:03,user6612,Hyderabad,0.85
"Not sure what's happening, address not responding during checkout and page kept loading forever. not happy at all.",Negative,Google Reviews,2023-01-17 11:13:21,user8743,Pune,0.57
"Service was good and delivery was fast, happy with it 👍",Positive,Flipkart,2024-10-20 18:51:58,user2795,Ahmedabad,0.89
"refund not received on website happened and after that nothing is working properly, really bad experience.",Negative,Swiggy,2023-08-11 05:58:29,user6689,Pune,0.5
Why is this happening? login incorrect on website and also app just froze. honestly upset.,Negative,Website Review,2023-05-10 12:00:19,user7116,Delhi,0.66
"Really liked the experience, everything worked fine and smooth 😊",Positive,Amazon India,2025-06-22 17:05:32,user7687,Pune,0.86
"No issues at all, app works perfectly and easy to use ❤️",Positive,Swiggy,2025-12-21 00:44:45,user2479,Delhi,0.82
"Service was good and delivery was fast, happy with it 👍",Positive,Twitter,2025-10-01 02:18:02,user9075,Bangalore,0.93
"Not sure what's happening, website delayed in app and app just froze. really frustrated.",Negative,Amazon India,2023-10-06 00:38:19,user1261,Jaipur,0.63
"Service was good and delivery was fast, happy with it 👍",Positive,Zomato,2024-05-01 10:59:23,user8827,Jaipur,0.85
"Facing issue where checkout delayed while logging in, and now nothing is working properly. fed up with this.",Negative,Google Reviews,2023-06-07 18:29:57,user3668,Mumbai,0.52
"No issues at all, app works perfectly and easy to use ❤️",Positive,Swiggy,2025-01-13 04:01:50,user7437,Jaipur,0.84
"Service was good and delivery was fast, happy with it 👍",Positive,Flipkart,2024-05-23 20:22:22,user5496,Mumbai,0.83
"Service was good and delivery was fast, happy with it 👍",Positive,Zomato,2023-09-29 10:08:54,user1676,Jaipur,0.82
"Facing issue where support not responding during checkout, and now it failed again. very disappointed.",Negative,Website Review,2023-04-27 23:24:52,user1285,Hyderabad,0.61
"Service was good and delivery was fast, happy with it 👍",Positive,Twitter,2024-09-29 01:02:42,user1442,Delhi,0.93
"Really liked the experience, everything worked fine and smooth 😊",Positive,Swiggy,2025-10-29 04:35:23,user2534,Bangalore,0.92
"Service was good and delivery was fast, happy with it 👍",Positive,Website Review,2024-01-17 21:52:59,user8568,Ahmedabad,0.96
"Service was good and delivery was fast, happy with it 👍",Positive,Swiggy,2025-05-21 05:17:10,user9506,Jaipur,0.82
"This is the third time website showing error during checkout, still it failed again. expected better from this app.",Negative,Twitter,2025-04-02 20:12:14,user1173,Chennai,0.56
"No issues at all, app works perfectly and easy to use ❤️",Positive,Swiggy,2024-09-14 14:58:26,user6209,Kolkata,0.92
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2024-02-16 06:11:59,user1361,Ahmedabad,0.84
"app not processing while logging in happened and after that nothing is working properly, realy bad experience.",Negative,Amazon India,2024-03-06 00:12:55,user3349,Mumbai,0.5
"Service was good and delivery was fast, happy with it 👍",Positive,Twitter,2023-05-10 06:43:56,user3817,Delhi,0.89
"This is the third time order not working while logging in, still page kept loading forever. again and again same issue.",Negative,Amazon India,2024-11-17 02:45:14,user1128,Jaipur,0.55
"transaction missing after update happened and after that no response from support, realy bad experience.",Negative,Zomato,2025-08-27 09:55:46,user5371,Jaipur,0.74
"This is the third time website not loading while logging in, still it failed again. I don't understand why.",Negative,Google Reviews,2023-12-22 03:48:13,user9425,Mumbai,0.53
"No issues at all, app works perfectly and easy to use ❤️",Positive,Zomato,2024-07-17 01:48:02,user5619,Ahmedabad,0.82
"I tried address not updating in app but I couldn't proceed further, fed up with this.",Negative,Zomato,2023-10-05 11:53:07,user6854,Kolkata,0.64
"I was just trying to use the app and account failed during transaction, then app just froze. honestly upset.",Negative,Swiggy,2023-09-09 09:00:07,user5870,Jaipur,0.72
"This is the third time email not processing on website, still app just froze. like seriously.",Negative,Zomato,2023-12-13 10:54:31,user8655,Bangalore,0.63
"Not sure what's happening, app not processing during transaction and app just froze. very disappointed.",Negative,Twitter,2024-04-08 21:57:01,user2328,Kolkata,0.67
Why is this happening? support not updating during transaction and also app just froze. really frustrated.,Negative,Google Reviews,2023-07-08 21:43:34,user5495,Mumbai,0.52
Why is this happening? payement incorrect while logging in and also money already deducted. seriously irritated.,Negative,Zomato,2025-02-16 01:18:43,user3868,Mumbai,0.63
"account not loading during delivery happened and after that it failed again, realy bad experience.",Negative,Google Reviews,2024-05-21 23:18:42,user7373,Delhi,0.52
"No issues at all, app works perfectly and easy to use ❤️",Positive,Google Reviews,2025-06-21 12:25:11,user5521,Bangalore,0.95
"No issues at all, app works perfectly and easy to use ❤️",Positive,Swiggy,2023-01-30 16:38:44,user8650,Mumbai,0.81
"address not processing while logging in happened and after that app just froze, really bad experience.",Negative,Website Review,2024-07-10 13:24:29,user5479,Lucknow,0.64
"I was just trying to use the app and website incorrect on website, then nothing is working properly. fed up with this.",Negative,Amazon India,2023-04-17 15:11:45,user3492,Delhi,0.75
"Service was good and delivery was fast, happy with it 👍",Positive,Swiggy,2023-03-07 04:10:17,user3994,Lucknow,0.9
"Service was good and delivery was fast, happy with it 👍",Positive,Zomato,2023-01-24 13:35:07,user9714,Chennai,0.87
"Really liked the experience, everything worked fine and smooth 😊",Positive,Swiggy,2025-07-28 15:32:17,user5419,Mumbai,0.87
"Really liked the experience, everything worked fine and smooth 😊",Positive,Zomato,2025-04-16 09:31:00,user9620,Ahmedabad,0.92
"Facing issue where delivery incorrect during delivery, and now nothing is working properly. not happy at all.",Negative,Zomato,2025-10-20 00:15:23,user5924,Chennai,0.57
"Not sure what's happening, address crashing after update and I couldn't proceed further. very disappointed.",Negative,Swiggy,2024-04-03 08:08:45,user9945,Jaipur,0.5
"Not sure what's happening, transaction not working during delivery and it failed again. seriously irritated.",Negative,Amazon India,2024-08-03 20:58:46,user5502,Hyderabad,0.57
"Service was good and delivery was fast, happy with it 👍",Positive,Swiggy,2023-06-30 15:28:43,user7368,Bangalore,0.97
"I tried account incorrect in app but I couldn't proceed further, realy frustrated.",Negative,Zomato,2024-08-28 15:04:03,user6892,Kolkata,0.65
Why is this happening? delivery not loading in app and also page kept loading forever. not happy at all.,Negative,Twitter,2024-01-05 22:06:36,user1010,Chennai,0.62
"No issues at all, app works perfectly and easy to use ❤️",Positive,Flipkart,2023-05-04 11:59:18,user1479,Hyderabad,0.86
Why is this happening? delivery not updating in app and also page kept loading forever. very disappointed.,Negative,Amazon India,2023-04-05 04:16:50,user9874,Ahmedabad,0.62
"Service was good and delivery was fast, happy with it 👍",Positive,Website Review,2025-07-20 18:01:42,user9586,Delhi,0.83
"I tried transaction incorrect during delivery but I couldn't proceed further, fed up with this.",Negative,Zomato,2023-11-10 21:14:18,user3528,Lucknow,0.54
"Really liked the experience, everything worked fine and smooth 😊",Positive,Google Reviews,2025-06-15 23:48:23,user6405,Kolkata,0.87
"This is the third time support not updating in app, still page kept loading forever. this is not acceptable.",Negative,Swiggy,2025-04-05 20:11:00,user5979,Bangalore,0.61
"Not sure what's happening, order not received while logging in and app just froze. very disappointed.",Negative,Google Reviews,2025-10-31 19:32:00,user9092,Ahmedabad,0.53
"No issues at all, app works perfectly and easy to use ❤️",Positive,Flipkart,2023-08-27 11:41:19,user6943,Lucknow,0.93
"No issues at all, app works perfectly and easy to use ❤️",Positive,Twitter,2023-06-28 05:08:49,user2704,Pune,0.95
"payment failed during checkout happened and after that money already deducted, really bad experience.",Negative,Google Reviews,2024-12-09 06:23:47,user5625,Hyderabad,0.7
"Really liked the experience, everything worked fine and smooth 😊",Positive,Google Reviews,2024-08-07 04:33:01,user3917,Hyderabad,0.92
"Facing issue where app incorrect during delivery, and now app just froze. seriously irritated.",Negative,Flipkart,2023-04-05 19:40:31,user2351,Kolkata,0.63
"account not recieved during transaction happened and after that no response from support, really bad experience.",Negative,Amazon India,2025-03-07 00:59:28,user2489,Bangalore,0.71
"Service was good and delivery was fast, happy with it 👍",Positive,Zomato,2023-06-11 17:31:51,user1945,Lucknow,0.9
"Really liked the experience, everything worked fine and smooth 😊",Positive,Flipkart,2025-03-05 08:38:20,user1266,Pune,0.89
"No issues at all, app works perfectly and easy to use ❤️",Positive,Amazon India,2025-10-19 05:26:43,user9820,Jaipur,0.85
"I was just trying to use the app and email crashing on website, then nothing is working properly. seriously irritated.",Negative,Google Reviews,2023-10-05 07:15:01,user8314,Kolkata,0.57
"I tried login delayed after payment but no response from support, realy frustrated.",Negative,Google Reviews,2025-02-24 08:21:11,user3048,Delhi,0.65
"Really liked the experience, everything worked fine and smooth 😊",Positive,Zomato,2023-04-02 05:59:04,user3957,Jaipur,0.84
"Really liked the experience, everything worked fine and smooth 😊",Positive,Swiggy,2025-05-22 16:11:28,user7541,Ahmedabad,0.93
"Not sure what's happening, account not received in app and I couldn't proceed further. fed up with this.",Negative,Zomato,2023-01-21 22:48:37,user1909,Mumbai,0.71
"Really liked the experience, everything worked fine and smooth 😊",Positive,Amazon India,2024-07-01 04:18:13,user7883,Jaipur,0.8
Why is this happening? delivery not working in app and also app just froze. realy frustrated.,Negative,Website Review,2025-01-09 03:46:41,user5626,Lucknow,0.69
"This is the third time order blocked after update, still I couldn't proceed further. like seriously.",Negative,Website Review,2025-02-19 07:22:45,user5188,Ahmedabad,0.63
"I tried email missing during transaction but money already deducted, honestly upset.",Negative,Twitter,2025-03-30 19:19:55,user2163,Bangalore,0.7
"Facing issue where checkout not working during transaction, and now page kept loading forever. realy frustrated.",Negative,Amazon India,2023-09-20 10:52:37,user6901,Mumbai,0.64
Why is this happening? order blocked during transaction and also no response from support. not happy at all.,Negative,Website Review,2024-09-01 01:25:17,user6103,Chennai,0.7
"No issues at all, app works perfectly and easy to use ❤️",Positive,Google Reviews,2023-02-05 14:34:38,user9573,Jaipur,0.9
"Service was good and delivery was fast, happy with it 👍",Positive,Zomato,2025-01-25 00:57:44,user6426,Mumbai,0.9
"Really liked the experience, everything worked fine and smooth 😊",Positive,Amazon India,2024-02-16 19:33:25,user5593,Hyderabad,0.85
"Really liked the experience, everything worked fine and smooth 😊",Positive,Swiggy,2023-09-08 13:25:28,user7666,Delhi,0.82
"account showing error while placing order happened and after that app just froze, really bad experience.",Negative,Twitter,2023-11-17 11:25:39,user9692,Kolkata,0.53
"I was just trying to use the app and checkout not loading after payement, then money already deducted. so annoying.",Negative,Flipkart,2024-10-14 02:14:16,user8838,Lucknow,0.65
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2023-11-20 06:49:37,user4651,Hyderabad,0.85
"No issues at all, app works perfectly and easy to use ❤️",Positive,Flipkart,2024-10-05 19:31:19,user2595,Bangalore,0.93
"Facing issue where delivery not responding during delivery, and now money already deducted. so annoying.",Negative,Flipkart,2024-02-19 07:35:25,user9166,Hyderabad,0.64
"This is the third time transaction missing during transaction, still no response from support. like seriously.",Negative,Zomato,2024-05-28 01:50:26,user6777,Ahmedabad,0.73
"No issues at all, app works perfectly and easy to use ❤️",Positive,Amazon India,2024-08-22 00:51:15,user4761,Ahmedabad,0.9
"I was just trying to use the app and support not responding while placing order, then nothing is working properly. very disappointed.",Negative,Google Reviews,2025-05-26 12:14:14,user8757,Jaipur,0.64
"I was just trying to use the app and order not working while placing order, then I couldn't proceed further. not happy at all.",Negative,Website Review,2023-07-23 07:14:37,user3736,Hyderabad,0.54
"This is the third time transaction showing error after payement, still I couldn't proceed further. like seriously.",Negative,Amazon India,2024-02-04 21:13:52,user3854,Kolkata,0.52
"This is the third time delivery not loading during transaction, still app just froze. I don't understand why.",Negative,Amazon India,2025-10-18 20:21:47,user9902,Bangalore,0.52
"Really liked the experience, everything worked fine and smooth 😊",Positive,Amazon India,2025-04-21 23:31:23,user3770,Kolkata,0.87
"Really liked the experience, everything worked fine and smooth 😊",Positive,Swiggy,2024-06-12 11:59:33,user8309,Kolkata,0.95
"I tried OTP not loading during transaction but no response from support, so annoying.",Negative,Flipkart,2023-12-20 18:11:57,user8718,Kolkata,0.75
"Really liked the experience, everything worked fine and smooth 😊",Positive,Amazon India,2023-05-17 06:59:19,user9505,Jaipur,0.9
"Really liked the experience, everything worked fine and smooth 😊",Positive,Flipkart,2025-10-10 17:54:16,user1560,Hyderabad,0.93
"Service was good and delivery was fast, happy with it 👍",Positive,Swiggy,2025-05-13 18:06:30,user1196,Pune,0.98
"Service was good and delivery was fast, happy with it 👍",Positive,Website Review,2025-08-21 05:11:38,user6849,Bangalore,0.86
Why is this happening? payment not working during delivery and also money already deducted. not happy at all.,Negative,Google Reviews,2025-12-24 05:31:22,user2408,Jaipur,0.59
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2025-09-03 08:15:51,user9138,Hyderabad,0.95
"Not sure what's happening, account failed after payment and nothing is working properly. not happy at all.",Negative,Swiggy,2023-06-07 16:30:03,user2134,Bangalore,0.54
"Really liked the experience, everything worked fine and smooth 😊",Positive,Twitter,2025-06-01 22:02:30,user3303,Lucknow,0.95
"This is the third time website not responding in app, still money already deducted. like seriously.",Negative,Website Review,2025-02-21 02:35:02,user2067,Lucknow,0.69
"No issues at all, app works perfectly and easy to use ❤️",Positive,Amazon India,2023-05-27 16:45:36,user9102,Jaipur,0.9
"I was just trying to use the app and account not processing on website, then it failed again. so annoying.",Negative,Amazon India,2023-06-20 11:30:10,user3215,Mumbai,0.58
"Really liked the experience, everything worked fine and smooth 😊",Positive,Google Reviews,2024-07-11 15:02:59,user2716,Jaipur,0.81
"I tried account not responding during transaction but it failed again, honestly upset.",Negative,Amazon India,2025-05-12 20:12:30,user1202,Ahmedabad,0.56
Why is this happening? refund stuck during checkout and also money already deducted. fed up with this.,Negative,Website Review,2024-08-31 04:00:36,user7236,Bangalore,0.58
"Facing issue where order stuck in app, and now no response from support. not happy at all.",Negative,Zomato,2025-11-05 05:51:30,user1591,Lucknow,0.68
"No issues at all, app works perfectly and easy to use ❤️",Positive,Google Reviews,2024-07-06 23:42:25,user3397,Jaipur,0.92
"Really liked the experience, everything worked fine and smooth 😊",Positive,Google Reviews,2023-12-28 04:55:22,user8617,Mumbai,0.83
"I was just trying to use the app and account delayed in app, then app just froze. so annoying.",Negative,Amazon India,2025-04-26 04:30:37,user9945,Hyderabad,0.6
"Service was good and delivery was fast, happy with it 👍",Positive,Zomato,2025-11-04 11:18:06,user7274,Kolkata,0.82
"This is the third time refund not received while placing order, still app just froze. expected better from this app.",Negative,Twitter,2025-05-15 11:41:09,user4829,Chennai,0.74
"No issues at all, app works perfectly and easy to use ❤️",Positive,Zomato,2025-08-08 08:27:54,user4657,Chennai,0.82
"Really liked the experience, everything worked fine and smooth 😊",Positive,Amazon India,2024-04-11 06:24:49,user9159,Kolkata,0.96
Why is this happening? login delayed during checkout and also page kept loading forever. so annoying.,Negative,Zomato,2023-01-11 03:09:48,user9464,Kolkata,0.51
"This is the third time payment delayed while logging in, still nothing is working properly. again and again same issue.",Negative,Zomato,2023-04-26 15:57:04,user5959,Delhi,0.63
Why is this happening? checkout blocked during delivery and also no response from support. fed up with this.,Negative,Zomato,2023-06-22 14:54:21,user5383,Kolkata,0.57
"No issues at all, app works perfectly and easy to use ❤️",Positive,Twitter,2023-01-07 13:51:18,user5997,Ahmedabad,0.86
"No issues at all, app works perfectly and easy to use ❤️",Positive,Flipkart,2025-10-30 08:30:50,user5806,Hyderabad,0.81
"No issues at all, app works perfectly and easy to use ❤️",Positive,Flipkart,2024-07-20 03:29:55,user7625,Delhi,0.82
"I tried refund crashing on website but app just froze, honestly upset.",Negative,Swiggy,2024-12-13 19:38:57,user6655,Chennai,0.51
"No issues at all, app works perfectly and easy to use ❤️",Positive,Swiggy,2025-08-26 20:35:39,user6202,Jaipur,0.91
"Really liked the experience, everything worked fine and smooth 😊",Positive,Amazon India,2023-03-22 01:16:27,user9061,Kolkata,0.8
"No issues at all, app works perfectly and easy to use ❤️",Positive,Swiggy,2023-02-20 12:26:56,user2170,Bangalore,0.97
"I was just trying to use the app and website stuck while logging in, then page kept loading forever. honestly upset.",Negative,Twitter,2023-02-02 03:13:46,user6079,Lucknow,0.56
"This is the third time app delayed during transaction, still money already deducted. like seriously.",Negative,Swiggy,2024-08-08 16:12:36,user5997,Mumbai,0.63
"Really liked the experience, everything worked fine and smooth 😊",Positive,Google Reviews,2025-05-24 11:45:34,user5313,Hyderabad,0.93
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2025-02-25 19:36:13,user8112,Mumbai,0.91
"I was just trying to use the app and checkout not responding during delivery, then page kept loading forever. seriously irritated.",Negative,Amazon India,2023-04-24 09:44:08,user3379,Lucknow,0.55
Why is this happening? account missing while placing order and also nothing is working properly. seriously irritated.,Negative,Twitter,2024-01-27 18:31:06,user4876,Ahmedabad,0.74
"Not sure what's happening, transaction incorrect after update and nothing is working properly. so annoying.",Negative,Amazon India,2024-05-23 13:22:57,user1959,Mumbai,0.73
"support not working in app happened and after that nothing is working properly, really bad experience.",Negative,Website Review,2024-06-09 15:47:03,user2572,Hyderabad,0.72
"This is the third time support not loading during delivery, still page kept loading forever. like seriously.",Negative,Website Review,2023-08-07 18:12:58,user3046,Ahmedabad,0.51
"Service was good and delivery was fast, happy with it 👍",Positive,Zomato,2024-08-16 04:03:51,user5666,Bangalore,0.86
"Service was good and delivery was fast, happy with it 👍",Positive,Website Review,2023-04-05 06:42:39,user6380,Lucknow,0.83
"Service was good and delivery was fast, happy with it 👍",Positive,Flipkart,2025-04-05 13:59:56,user3170,Chennai,0.9
"This is the third time account delayed after update, still no response from support. this is not acceptable.",Negative,Zomato,2024-11-04 11:33:41,user1037,Jaipur,0.72
"No issues at all, app works perfectly and easy to use ❤️",Positive,Google Reviews,2025-07-25 08:33:13,user9636,Bangalore,0.92
"Not sure what's happening, payment not processing on website and money already deducted. seriously irritated.",Negative,Amazon India,2025-09-07 05:43:23,user8075,Lucknow,0.5
"No issues at all, app works perfectly and easy to use ❤️",Positive,Google Reviews,2023-04-20 15:01:28,user1871,Bangalore,0.91
"Really liked the experience, everything worked fine and smooth 😊",Positive,Swiggy,2023-07-30 06:06:37,user1424,Chennai,0.9
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2023-07-09 08:36:05,user4450,Pune,0.91
"Not sure what's happening, transaction failed after update and app just froze. really frustrated.",Negative,Google Reviews,2025-12-27 18:19:27,user3198,Mumbai,0.51
"Really liked the experience, everything worked fine and smooth 😊",Positive,Zomato,2024-07-12 21:59:57,user3078,Ahmedabad,0.86
"I was just trying to use the app and website not loading after update, then money already deducted. very disappointed.",Negative,Google Reviews,2025-10-17 00:46:36,user2432,Pune,0.72
"Really liked the experience, everything worked fine and smooth 😊",Positive,Website Review,2025-08-29 06:51:37,user2770,Lucknow,0.97
"I was just trying to use the app and support not responding after update, then it failed again. seriously irritated.",Negative,Amazon India,2023-01-29 09:58:27,user5572,Pune,0.63
"This is the third time account crashing after payment, still no response from support. this is not acceptable.",Negative,Zomato,2023-11-02 10:26:20,user5951,Mumbai,0.52
"Really liked the experience, everything worked fine and smooth 😊",Positive,Twitter,2025-08-28 05:16:07,user1541,Jaipur,0.8
"Really liked the experience, everything worked fine and smooth 😊",Positive,Flipkart,2024-04-21 15:40:36,user9708,Bangalore,0.94
"Service was good and delivery was fast, happy with it 👍",Positive,Amazon India,2024-01-20 22:49:51,user4980,Mumbai,0.94
"Service was good and delivery was fast, happy with it 👍",Positive,Flipkart,2025-09-28 04:26:25,user2932,Bangalore,0.9
"This is the third time refund not processing on website, still no response from support. I don't understand why.",Negative,Website Review,2023-12-07 10:56:53,user8345,Kolkata,0.61
"I was just trying to use the app and transaction crashing during checkout, then nothing is working properly. really frustrated.",Negative,Google Reviews,2023-09-01 08:45:16,user8296,Ahmedabad,0.66
"Really liked the experience, everything worked fine and smooth 😊",Positive,Flipkart,2024-09-18 20:54:04,user1743,Jaipur,0.96
"This is the third time payment not processing in app, still it failed again. I don't understand why.",Negative,Website Review,2024-07-24 01:07:05,user9873,Mumbai,0.71
Why is this happening? payement not recieved in app and also it failed again. not happy at all.,Negative,Swiggy,2023-02-21 07:34:35,user2306,Ahmedabad,0.57
"website not processing during transaction happened and after that I couldn't proceed further, really bad experience.",Negative,Google Reviews,2023-03-08 19:06:49,user1785,Mumbai,0.55
"Not sure what's happening, transaction delayed during delivery and no response from support. really frustrated.",Negative,Zomato,2024-04-12 11:03:04,user1535,Jaipur,0.67
"No issues at all, app works perfectly and easy to use ❤️",Positive,Swiggy,2024-02-22 15:07:53,user6428,Hyderabad,0.87
"I tried address not loading in app but app just froze, fed up with this.",Negative,Amazon India,2023-10-07 03:55:13,user6480,Ahmedabad,0.56
"This is the third time delivery not working in app, still app just froze. I don't understand why.",Negative,Google Reviews,2024-04-11 14:37:29,user2710,Delhi,0.61
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2023-05-14 00:47:24,user9990,Mumbai,0.86
"Service was good and delivery was fast, happy with it 👍",Positive,Twitter,2023-11-21 13:13:45,user9234,Hyderabad,0.94
